Date,Open,High,Low,Close,Adj Close,Volume
2023-05-22,11.360000,11.449933,10.801466,10.952933,10.465198,5279983
2023-05-23,11.005000,11.289000,10.971866,11.147000,10.650622,3895804
2023-05-24,11.147000,11.270066,10.806200,10.924533,10.438062,4234212
2023-05-25,10.957666,11.336333,10.806200,11.303200,10.799867,5011495
2023-05-26,10.929266,11.147000,10.721000,11.009733,11.009733,4756026
2023-05-29,11.042866,11.322133,10.891400,11.184866,11.184866,7234656
2023-05-30,11.331600,11.828600,11.251133,11.582466,11.582466,8833373
2023-05-31,11.833333,11.916166,11.464133,11.464133,11.464133,6367757
2023-06-01,11.487800,11.823866,11.388400,11.691333,11.691333,5213019
2023-06-02,11.857000,12.058166,11.464133,11.715000,11.715000,8232735
2023-06-05,12.247500,12.294833,11.833333,12.141000,12.141000,8476204
2023-06-06,12.164666,12.874666,12.034500,12.602500,12.602500,10160784
2023-06-07,12.780000,13.738500,12.567000,13.371666,13.371666,15434023
2023-06-08,13.371666,13.537333,12.933833,13.146833,13.146833,7088949
2023-06-09,13.253333,13.927833,13.158666,13.868666,13.868666,12727212
2023-06-12,13.963333,13.963333,13.265166,13.300666,13.300666,11588961
2023-06-13,13.300666,13.490000,12.827333,13.371666,13.371666,7800240
2023-06-14,13.371666,13.442666,12.945666,13.040333,13.040333,5574342
2023-06-15,13.087666,13.371666,12.922000,13.348000,13.348000,5639568
2023-06-16,13.359833,13.561000,13.217833,13.478166,13.478166,4691514
2023-06-19,13.478166,13.549166,12.661666,12.661666,12.661666,4757201
2023-06-20,12.638000,12.803666,12.389500,12.555166,12.555166,4105183
2023-06-21,12.555166,12.638000,12.105500,12.117333,12.117333,4037471
2023-06-22,12.129166,13.324333,12.105500,13.229666,13.229666,6515729
2023-06-23,13.478166,13.643833,13.300666,13.454500,13.454500,6981925
2023-06-26,13.407166,14.685166,13.395333,14.578666,14.578666,12639219
2023-06-27,14.578666,15.265000,14.401166,14.779833,14.779833,5093345
2023-07-03,15.383333,16.247166,15.265000,15.892166,15.892166,18006156
2023-07-04,15.904000,17.122833,15.714666,16.933500,16.933500,16507204
2023-07-05,16.945333,17.513332,16.105165,16.815166,16.815166,18093692
2023-07-06,16.803333,17.087334,16.377333,16.412832,16.412832,13628564
2023-07-07,16.412832,16.637667,15.856666,16.330000,16.330000,9950505
2023-07-10,16.614000,17.205666,16.365499,16.625834,16.625834,11147192
2023-07-11,16.921665,17.406834,16.566666,17.170166,17.170166,12260666
2023-07-12,17.170166,18.045834,16.921665,17.253000,17.253000,16818916
2023-07-13,17.418667,17.596167,16.649500,16.803333,16.803333,9166288
2023-07-14,17.205666,17.986666,16.803333,17.359501,17.359501,16094184
2023-07-17,17.395000,17.986666,17.146500,17.903833,17.903833,10972850
